"","Location","Occupation","Year","Injuries","OccAbbrev"
"450","  South Waikato district","Trades workers","2002",240,"Tra"
"451","  Waitomo district","Trades workers","2002",42,"Tra"
"452","  Taupo district","Trades workers","2002",303,"Tra"
"453","  Western Bay of Plenty district","Trades workers","2002",69,"Tra"
"454","  Tauranga city","Trades workers","2002",1521,"Tra"
"455","  Rotorua district","Trades workers","2002",546,"Tra"
"456","  Whakatane district","Trades workers","2002",192,"Tra"
"457","  Kawerau district","Trades workers","2002",93,"Tra"
"458","  Opotiki district","Trades workers","2002",36,"Tra"
"459","  Gisborne district","Trades workers","2002",342,"Tra"
"460","  Wairoa district","Trades workers","2002",24,"Tra"
"461","  Hastings district","Trades workers","2002",708,"Tra"
"462","  Napier city","Trades workers","2002",579,"Tra"
"463","  Central Hawke's Bay district","Trades workers","2002",66,"Tra"
"464","  New Plymouth district","Trades workers","2002",687,"Tra"
"465","  Stratford district","Trades workers","2002",84,"Tra"
"466","  South Taranaki district","Trades workers","2002",207,"Tra"
"467","  Ruapehu district","Trades workers","2002",60,"Tra"
"468","  Whanganui district","Trades workers","2002",360,"Tra"
"469","  Rangitikei district","Trades workers","2002",27,"Tra"
"470","  Manawatu district","Trades workers","2002",78,"Tra"
"471","  Palmerston North city","Trades workers","2002",687,"Tra"
"472","  Tararua district","Trades workers","2002",90,"Tra"
"473","  Horowhenua district","Trades workers","2002",210,"Tra"
"474","  Kapiti Coast district","Trades workers","2002",246,"Tra"
"475","  Porirua city","Trades workers","2002",144,"Tra"
"476","  Upper Hutt city","Trades workers","2002",183,"Tra"
"477","  Lower Hutt city","Trades workers","2002",489,"Tra"
"478","  Wellington city","Trades workers","2002",1431,"Tra"
"479","  Masterton district","Trades workers","2002",279,"Tra"
"480","  Carterton district","Trades workers","2002",54,"Tra"
"481","  South Wairarapa district","Trades workers","2002",33,"Tra"
"482","  Tasman district","Trades workers","2002",228,"Tra"
"483","  Nelson city","Trades workers","2002",666,"Tra"
"484","  Marlborough district","Trades workers","2002",441,"Tra"
"485","  Kaikoura district","Trades workers","2002",30,"Tra"
"486","  Buller district","Trades workers","2002",54,"Tra"
"487","  Grey district","Trades workers","2002",87,"Tra"
"488","  Westland district","Trades workers","2002",93,"Tra"
"489","  Hurunui district","Trades workers","2002",48,"Tra"
"490","  Waimakariri district","Trades workers","2002",309,"Tra"
"491","  Christchurch city","Trades workers","2002",3564,"Tra"
"492","  Selwyn district","Trades workers","2002",60,"Tra"
"493","  Ashburton district","Trades workers","2002",291,"Tra"
"494","  Timaru district","Trades workers","2002",543,"Tra"
"495","  Mackenzie district","Trades workers","2002",27,"Tra"
"496","  Waimate district","Trades workers","2002",21,"Tra"
"497","  Chatham Islands territory","Trades workers","2002",6,"Tra"
"498","  Waitaki district","Trades workers","2002",219,"Tra"
"499","  Central Otago district","Trades workers","2002",141,"Tra"
"500","  Queenstown-Lakes district","Trades workers","2002",474,"Tra"
"501","  Dunedin city","Trades workers","2002",1035,"Tra"
"502","  Clutha district","Trades workers","2002",264,"Tra"
"503","  Southland district","Trades workers","2002",225,"Tra"
"504","  Gore district","Trades workers","2002",207,"Tra"
"505","  Invercargill city","Trades workers","2002",441,"Tra"
"506","  Overseas","Trades workers","2002",NA,"Tra"
"507","  In the air - NZ","Trades workers","2002",NA,"Tra"
"508","  In NZ waters","Trades workers","2002",3,"Tra"
"509","  At sea, not in NZ waters","Trades workers","2002",NA,"Tra"
"510","  In the air - overseas","Trades workers","2002",NA,"Tra"
"511","  Not specified","Trades workers","2002",432,"Tra"
"512","  Far North district","Plant and machine operators and assemblers","2002",609,"Pla"
"513","  Whangarei district","Plant and machine operators and assemblers","2002",840,"Pla"
"514","  Kaipara district","Plant and machine operators and assemblers","2002",138,"Pla"
"515","  Auckland city","Plant and machine operators and assemblers","2002",10686,"Pla"
"516","  Thames-Coromandel district","Plant and machine operators and assemblers","2002",522,"Pla"
"517","  Hauraki district","Plant and machine operators and assemblers","2002",186,"Pla"
"518","  Waikato district","Plant and machine operators and assemblers","2002",516,"Pla"
"519","  Matamata-Piako district","Plant and machine operators and assemblers","2002",291,"Pla"
"520","  Hamilton city","Plant and machine operators and assemblers","2002",1401,"Pla"
"521","  Waipa district","Plant and machine operators and assemblers","2002",108,"Pla"
"522","  Otorohanga district","Plant and machine operators and assemblers","2002",159,"Pla"
"523","  South Waikato district","Plant and machine operators and assemblers","2002",333,"Pla"
"524","  Waitomo district","Plant and machine operators and assemblers","2002",219,"Pla"
"525","  Taupo district","Plant and machine operators and assemblers","2002",360,"Pla"
"526","  Western Bay of Plenty district","Plant and machine operators and assemblers","2002",114,"Pla"
"527","  Tauranga city","Plant and machine operators and assemblers","2002",1731,"Pla"
"528","  Rotorua district","Plant and machine operators and assemblers","2002",777,"Pla"
"529","  Whakatane district","Plant and machine operators and assemblers","2002",228,"Pla"
"530","  Kawerau district","Plant and machine operators and assemblers","2002",168,"Pla"
"531","  Opotiki district","Plant and machine operators and assemblers","2002",33,"Pla"
"532","  Gisborne district","Plant and machine operators and assemblers","2002",504,"Pla"
"533","  Wairoa district","Plant and machine operators and assemblers","2002",237,"Pla"
"534","  Hastings district","Plant and machine operators and assemblers","2002",1113,"Pla"
"535","  Napier city","Plant and machine operators and assemblers","2002",750,"Pla"
"536","  Central Hawke's Bay district","Plant and machine operators and assemblers","2002",264,"Pla"
"537","  New Plymouth district","Plant and machine operators and assemblers","2002",741,"Pla"
"538","  Stratford district","Plant and machine operators and assemblers","2002",192,"Pla"
"539","  South Taranaki district","Plant and machine operators and assemblers","2002",576,"Pla"
"540","  Ruapehu district","Plant and machine operators and assemblers","2002",93,"Pla"
"541","  Whanganui district","Plant and machine operators and assemblers","2002",774,"Pla"
"542","  Rangitikei district","Plant and machine operators and assemblers","2002",51,"Pla"
"543","  Manawatu district","Plant and machine operators and assemblers","2002",315,"Pla"
"544","  Palmerston North city","Plant and machine operators and assemblers","2002",987,"Pla"
"545","  Tararua district","Plant and machine operators and assemblers","2002",123,"Pla"
"546","  Horowhenua district","Plant and machine operators and assemblers","2002",327,"Pla"
"547","  Kapiti Coast district","Plant and machine operators and assemblers","2002",120,"Pla"
"548","  Porirua city","Plant and machine operators and assemblers","2002",129,"Pla"
"549","  Upper Hutt city","Plant and machine operators and assemblers","2002",201,"Pla"
"550","  Lower Hutt city","Plant and machine operators and assemblers","2002",459,"Pla"
"551","  Wellington city","Plant and machine operators and assemblers","2002",1281,"Pla"
"552","  Masterton district","Plant and machine operators and assemblers","2002",309,"Pla"
"553","  Carterton district","Plant and machine operators and assemblers","2002",36,"Pla"
"554","  South Wairarapa district","Plant and machine operators and assemblers","2002",27,"Pla"
"555","  Tasman district","Plant and machine operators and assemblers","2002",210,"Pla"
"556","  Nelson city","Plant and machine operators and assemblers","2002",1014,"Pla"
"557","  Marlborough district","Plant and machine operators and assemblers","2002",642,"Pla"
"558","  Kaikoura district","Plant and machine operators and assemblers","2002",48,"Pla"
"559","  Buller district","Plant and machine operators and assemblers","2002",105,"Pla"
"560","  Grey district","Plant and machine operators and assemblers","2002",198,"Pla"
"561","  Westland district","Plant and machine operators and assemblers","2002",138,"Pla"
"562","  Hurunui district","Plant and machine operators and assemblers","2002",96,"Pla"
"563","  Waimakariri district","Plant and machine operators and assemblers","2002",186,"Pla"
"564","  Christchurch city","Plant and machine operators and assemblers","2002",4026,"Pla"
"565","  Selwyn district","Plant and machine operators and assemblers","2002",111,"Pla"
"566","  Ashburton district","Plant and machine operators and assemblers","2002",780,"Pla"
"567","  Timaru district","Plant and machine operators and assemblers","2002",891,"Pla"
"568","  Mackenzie district","Plant and machine operators and assemblers","2002",18,"Pla"
"569","  Waimate district","Plant and machine operators and assemblers","2002",63,"Pla"
"570","  Chatham Islands territory","Plant and machine operators and assemblers","2002",12,"Pla"
"571","  Waitaki district","Plant and machine operators and assemblers","2002",588,"Pla"
"572","  Central Otago district","Plant and machine operators and assemblers","2002",237,"Pla"
"573","  Queenstown-Lakes district","Plant and machine operators and assemblers","2002",309,"Pla"
"574","  Dunedin city","Plant and machine operators and assemblers","2002",1026,"Pla"
"575","  Clutha district","Plant and machine operators and assemblers","2002",273,"Pla"
"576","  Southland district","Plant and machine operators and assemblers","2002",1374,"Pla"
"577","  Gore district","Plant and machine operators and assemblers","2002",477,"Pla"
"578","  Invercargill city","Plant and machine operators and assemblers","2002",525,"Pla"
"579","  Overseas","Plant and machine operators and assemblers","2002",NA,"Pla"
"580","  In the air - NZ","Plant and machine operators and assemblers","2002",NA,"Pla"
"581","  In NZ waters","Plant and machine operators and assemblers","2002",39,"Pla"
"582","  At sea, not in NZ waters","Plant and machine operators and assemblers","2002",NA,"Pla"
"583","  In the air - overseas","Plant and machine operators and assemblers","2002",NA,"Pla"
"584","  Not specified","Plant and machine operators and assemblers","2002",969,"Pla"
"585","  Far North district","Elementary occupations","2002",516,"Ele"
"586","  Whangarei district","Elementary occupations","2002",648,"Ele"
"587","  Kaipara district","Elementary occupations","2002",153,"Ele"
"588","  Auckland city","Elementary occupations","2002",10338,"Ele"
"589","  Thames-Coromandel district","Elementary occupations","2002",285,"Ele"
"590","  Hauraki district","Elementary occupations","2002",78,"Ele"
"591","  Waikato district","Elementary occupations","2002",633,"Ele"
"592","  Matamata-Piako district","Elementary occupations","2002",225,"Ele"
"593","  Hamilton city","Elementary occupations","2002",1476,"Ele"
"594","  Waipa district","Elementary occupations","2002",174,"Ele"
"595","  Otorohanga district","Elementary occupations","2002",84,"Ele"
"596","  South Waikato district","Elementary occupations","2002",438,"Ele"
"597","  Waitomo district","Elementary occupations","2002",69,"Ele"
"598","  Taupo district","Elementary occupations","2002",276,"Ele"
"599","  Western Bay of Plenty district","Elementary occupations","2002",174,"Ele"
"600","  Tauranga city","Elementary occupations","2002",1341,"Ele"
"601","  Rotorua district","Elementary occupations","2002",705,"Ele"
"602","  Whakatane district","Elementary occupations","2002",282,"Ele"
"603","  Kawerau district","Elementary occupations","2002",54,"Ele"
"604","  Opotiki district","Elementary occupations","2002",48,"Ele"
"605","  Gisborne district","Elementary occupations","2002",615,"Ele"
"606","  Wairoa district","Elementary occupations","2002",60,"Ele"
"607","  Hastings district","Elementary occupations","2002",825,"Ele"
"608","  Napier city","Elementary occupations","2002",675,"Ele"
"609","  Central Hawke's Bay district","Elementary occupations","2002",87,"Ele"
"610","  New Plymouth district","Elementary occupations","2002",750,"Ele"
